TIPO_DATO;LOTE;COD_DIST;DISTRITO;COD_BARRIO;BARRIO;DIRECCION COMPLETA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;TIPO_NUMERO;NUMERO;UTM_X;UTM_Y;LATITUD;LONGITUD;DIRECCIÓN COMPLETA AMPLIADA;MÁS INFORMACIÓN
CONTENEDOR DE ROPA;01;10;LATINA;101;LOS CARMENES;CALLE DEL CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN, 14;CALLE;DEL;CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN;Número;14;437880,1914;4472716,105;40,4027391;-3,73205734;CALLE DEL CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN, 14;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;10;LATINA;101;LOS CARMENES;CALLE DE SEPULVEDA, 91;CALLE;DE;SEPULVEDA;Número;91;436882,8395;4472920,972;40,40450963;-3,74383012;CALLE DE SEPULVEDA, 91;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;19;VICALVARO;191;CASCO HISTORICO DE VICALVARO;CALLE DEL PEDERNAL, 1;CALLE;DEL;PEDERNAL;Número;1;449231,6656;4472955,732;40,40566735;-3,59831151;CALLE DEL PEDERNAL, 1 IES Villablanca/Mercadillo en la vía pública de la calle Villablanca;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;19;VICALVARO;191;CASCO HISTORICO DE VICALVARO;CALLE DE LOS MANANTIALES, 8;CALLE;DE LOS;MANANTIALES;Número;8;448613,3717;4473412,232;40,40974187;-3,60563467;CALLE DE LOS MANANTIALES, 8;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;19;VICALVARO;191;CASCO HISTORICO DE VICALVARO;CALLE DE LOS GALLEGOS, 24;CALLE;DE LOS;GALLEGOS;Número;24;448268,1567;4472574,465;40,40217333;-3,609635;CALLE DE LOS GALLEGOS, 24;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;13;PUENTE DE VALLECAS;134;PALOMERAS SURESTE;CALLE DE SANTA CRUZ DE RETAMAR, 20;CALLE;DE;SANTA CRUZ DE RETAMAR;Número;20;445142,4268;4470275,381;40,3812617;-3,64627004;CALLE DE SANTA CRUZ DE RETAMAR, 20;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;13;PUENTE DE VALLECAS;134;PALOMERAS SURESTE;CALLE DE LOS RIOJANOS, 1;CALLE;DE LOS;RIOJANOS;Número;1;445340,9315;4470959,313;40,38743604;-3,6439903;CALLE DE LOS RIOJANOS, 1;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;13;PUENTE DE VALLECAS;134;PALOMERAS SURESTE;CALLE DE LOS ASTURIANOS, 4;CALLE;DE LOS;ASTURIANOS;Número;4;445521,5546;4470362,235;40,38206901;-3,64181128;CALLE DE LOS ASTURIANOS, 4;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;13;PUENTE DE VALLECAS;134;PALOMERAS SURESTE;CALLE DE SAN CLAUDIO, 160;CALLE;DE;SAN CLAUDIO;Número;160;446018,6807;4471156,328;40,38925507;-3,63602226;CALLE DE SAN CLAUDIO, 160;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;18;VILLA DE VALLECAS;183;ENSANCHE DE VALLECAS;CALLE DE LA CAÑADA DEL SANTISIMO, 27;CALLE;DE LA;CAÑADA DEL SANTISIMO;Número;27;449308,3553;4468595,743;40,36639415;-3,59706083;CALLE DE LA CAÑADA DEL SANTISIMO, 27;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;18;VILLA DE VALLECAS;183;ENSANCHE DE VALLECAS;AVENIDA DE LA GRAN VIA DEL SURESTE, 14;AVENIDA;DE LA;GRAN VIA DEL SURESTE;Número;14;450046,9678;4468383,206;40,36452404;-3,58834503;AVENIDA DE LA GRAN VIA DEL SURESTE, 14;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;18;VILLA DE VALLECAS;183;ENSANCHE DE VALLECAS;CALLE DE ROZAS DE PUERTO REAL, 22;CALLE;DE;ROZAS DE PUERTO REAL;Número;22;446746,8649;4469714,664;40,37631447;-3,6273226;CALLE DE ROZAS DE PUERTO REAL, 22;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;18;VILLA DE VALLECAS;183;ENSANCHE DE VALLECAS;CALLE DE PEÑARANDA DE BRACAMONTE 18;CALLE;DE;PEÑARANDA DE BRACAMONTE;Número;18;448471,6557;4469183,203;40,37163512;-3,60696268;CALLE DE PEÑARANDA DE BRACAMONTE 18;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;18;VILLA DE VALLECAS;183;ENSANCHE DE VALLECAS;CALLE DEL RAYO VALLECANO DE MADRID, 23;CALLE;DEL;RAYO VALLECANO DE MADRID;Número;23;448122,799;4469797,038;40,37714333;-3,61112167;CALLE DEL RAYO VALLECANO DE MADRID, 23;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;18;VILLA DE VALLECAS;183;ENSANCHE DE VALLECAS;CALLE DE LA SIERRA DE PALOMERAS 32;CALLE;DE LA;SIERRA DE PALOMERAS;Número;32;446480,392;4469361,441;40,37311533;-3,63043181;CALLE DE LA SIERRA DE PALOMERAS 32;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;18;VILLA DE VALLECAS;183;ENSANCHE DE VALLECAS;CALLE DE HONRUBIA 4;CALLE;DE;HONRUBIA;Número;4;446553,2049;4469139,697;40,37112239;-3,62955558;CALLE DE HONRUBIA 4;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;18;VILLA DE VALLECAS;183;ENSANCHE DE VALLECAS;CALLE DE JOSE TAMAYO, 1;CALLE;DE;JOSE TAMAYO;Número;1;448911,3487;4468684,699;40,36717129;-3,60174377;CALLE DE JOSE TAMAYO, 1;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;13;PUENTE DE VALLECAS;131;ENTREVIAS;AVENIDA DE LAS GLORIETAS, 19;AVENIDA;DE LAS;GLORIETAS;Número;19;443995,0508;4469447,56;40,37372785;-3,65971355;"AVENIDA DE LAS GLORIETAS, 19 Centro Cultural ""El Pozo del Tío Raimundo""";"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;13;PUENTE DE VALLECAS;131;ENTREVIAS;RONDA   SUR, 4;RONDA; ;SUR;Número;4;442845,9755;4469910,44;40,37781975;-3,67328977;"RONDA   SUR, 4 Centro Deportivo Municipal ""Entrevías""";"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;13;PUENTE DE VALLECAS;131;ENTREVIAS;CALLE DE PEDROCHES, 8;CALLE;DE;PEDROCHES;Número;8;443179,5652;4470018,666;40,37881752;-3,6693699;CALLE DE PEDROCHES, 8;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;13;PUENTE DE VALLECAS;131;ENTREVIAS;CALLE DE BENAMEJI, 2;CALLE;DE;BENAMEJI;Número;2;443453,4764;4470084,274;40,37942719;-3,66614913;CALLE DE BENAMEJI, 2;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
