Orden;Tipo Contenedor;Modelo;Lote;Distrito;Barrio;Carga;Coordenda X;Coordenada Y;Latitud;Longitud;Código Situado;Dirección
3273;Resto;R 2750 CL;2;SAN BLAS-CANILLEJAS;CANILLEJAS;Carga Lateral;448250,224;4476860,124;40,440780275841;-3,610195061746;CL_207_021;CALLE CANAL DEL BOSFORO, 58
3274;PMB;E 2750 CL;2;SAN BLAS-CANILLEJAS;CANILLEJAS;Carga Lateral;448250,224;4476860,124;40,440780275841;-3,610195061746;CL_207_021;CALLE CANAL DEL BOSFORO, 58
3275;Orgánica;O 2750 CL;2;SAN BLAS-CANILLEJAS;CANILLEJAS;Carga Lateral;448250,224;4476860,124;40,440780275841;-3,610195061746;CL_207_021;CALLE CANAL DEL BOSFORO, 58
3276;Resto;R 2750 CL;2;SAN BLAS-CANILLEJAS;CANILLEJAS;Carga Lateral;448313,442;4476685,947;40,439215116026;-3,609435512202;CL_207_051;CALLE CANAL DEL BOSFORO, 42
3277;PMB;E 2750 CL;2;SAN BLAS-CANILLEJAS;CANILLEJAS;Carga Lateral;448313,442;4476685,947;40,439215116026;-3,609435512202;CL_207_051;CALLE CANAL DEL BOSFORO, 42
3278;Orgánica;O 2750 CL;2;SAN BLAS-CANILLEJAS;CANILLEJAS;Carga Lateral;448313,442;4476685,947;40,439215116026;-3,609435512202;CL_207_051;CALLE CANAL DEL BOSFORO, 42
3279;Resto;R 2750 CL;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Lateral;448285,321;4473123,111;40,407117092276;-3,609477310582;CL_191_095;PASEO ARTILLEROS, 17
3280;PMB;E 2750 CL;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Lateral;448285,321;4473123,111;40,407117092276;-3,609477310582;CL_191_095;PASEO ARTILLEROS, 17
3281;Orgánica;O 2750 CL;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Lateral;448285,321;4473123,111;40,407117092276;-3,609477310582;CL_191_095;PASEO ARTILLEROS, 17
3282;Papel-Cartón;PC 3100 CS;2;SAN BLAS-CANILLEJAS;HELLIN;Carga Superior;448103,104;4475612,432;40,429531137823;-3,611827807263;CS_202_015;CALLE GREGORIO LOPEZ MADERA, 8
3283;Vidrio;V 3100 CS;2;SAN BLAS-CANILLEJAS;HELLIN;Carga Superior;448103,104;4475612,432;40,429531137823;-3,611827807263;CS_202_015;CALLE GREGORIO LOPEZ MADERA, 8
3284;Papel-Cartón;PC 3100 CS;2;SAN BLAS-CANILLEJAS;CANILLEJAS;Carga Superior;448486,918;4477529,794;40,446827763800;-3,607458597122;CS_207_064;CALLE CARTAGO, 29
3285;Vidrio;V 3100 CS;2;SAN BLAS-CANILLEJAS;CANILLEJAS;Carga Superior;448486,918;4477529,794;40,446827763800;-3,607458597122;CS_207_064;CALLE CARTAGO, 29
3286;Papel-Cartón;PC 3100 CS;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Superior;448291,528;4473050,321;40,406461737679;-3,609398248337;CS_191_080;PASEO ARTILLEROS, 14
3287;Vidrio;V 3100 CS;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Superior;448291,528;4473050,321;40,406461737679;-3,609398248337;CS_191_080;PASEO ARTILLEROS, 14
3288;Papel-Cartón;PC 3100 CS;3;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;Carga Superior;448234,404;4469815,198;40,377314001421;-3,609808481329;CS_183_190;CALLE PUENTE DEL ARZOBISPO, 4
3289;Vidrio;V 3100 CS;3;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;Carga Superior;448234,404;4469815,198;40,377314001421;-3,609808481329;CS_183_190;CALLE PUENTE DEL ARZOBISPO, 4
3290;Papel-Cartón;PC 3100 CS;2;SAN BLAS-CANILLEJAS;ROSAS;Carga Superior;448175,22;4475491,383;40,428445149439;-3,610967787858;CS_205_070;AVENIDA CANILLEJAS A VICALVARO, 74
